                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4161,                  6.195,                 3.7865,                      0,                      0,                      0,                      0,                 1.5543,                 7.8572,                 2.0686,                 0.0901,                 0.0011,                 0.0011
                      2,                 3.0978,                 5.2082,                 3.0415,                      0,                      0,                      0,                      0,                 2.3156,                 6.3046,                 2.1446,               0.079186,              0.0021861,              0.0021861
                      3,                 2.7085,                 4.8488,                 2.7383,                      0,                      0,                      0,                      0,                 2.0415,                 5.8103,                 2.0408,               0.068154,              0.0031535,              0.0031535
                      4,                 2.4675,                 4.4393,                 2.4902,                      0,                      0,                      0,                      0,                 1.2812,                 5.5145,                 1.6933,               0.057002,              0.0040021,              0.0040021
                      5,                 2.3455,                 4.1419,                 2.4365,                      0,                      0,                      0,                      0,                 1.7371,                 5.3722,                 1.8535,               0.045732,              0.0047318,              0.0047318
                      6,                 2.3165,                 3.6945,                 2.4245,                      0,                      0,                      0,                      0,                 2.0249,                 6.8008,                 2.2088,               0.034343,              0.0053428,              0.0053428
                      7,                 2.1315,                 3.4131,                 2.2913,                0.00869,                0.56699,                0.00924,                0.00126,                 2.3984,                 11.299,                 3.2517,               0.022835,              0.0058349,              0.0058349
                      8,                 1.9859,                 3.2163,                 2.2149,                0.00349,                0.71795,                0.08214,                0.01009,                 2.2213,                 6.9572,                 2.7551,               0.011208,              0.0062083,              0.0062083
                      9,                 1.8403,                 3.0712,                 2.1294,                 0.0022,                0.91987,                0.01122,                0.00204,                 2.0055,                 14.616,                  2.232,                0.00604,                0.00604,                0.00604
                     10,                 1.8923,                 2.8615,                 2.0963,                0.00666,                0.82981,                0.01245,                0.00242,                 2.0668,                 7.7773,                 2.3013,                0.00604,                0.00604,                0.00604
                     11,                 1.6446,                  3.269,                 2.1777,                0.01122,                0.22596,                0.02659,                0.00483,                 2.4765,                 19.141,                 3.0991,               0.005545,               0.005545,               0.005545
                     12,                 1.5721,                 2.8338,                 2.0871,                0.00957,                0.82821,                0.15411,                0.05929,                 1.9041,                 4.2327,                 2.2659,                0.00505,                0.00505,                0.00505
                     13,                 1.4467,                 2.6531,                 1.9551,                0.03107,                      1,                0.32854,                 0.1619,                  1.242,                 3.5611,                 1.4902,               0.004555,               0.004555,               0.004555
                     14,                 1.4565,                  2.553,                 1.9283,                0.08806,                      1,                0.33711,                0.18996,                0.97986,                 2.9835,                 1.2988,                0.00406,                0.00406,                0.00406
                     15,                 1.4865,                 2.5023,                 1.9821,                0.23305,                0.43346,                0.36523,                0.21529,                0.99182,                  2.966,                 1.3201,               0.003565,               0.003565,               0.003565
                     16,                   1.34,                 2.3984,                 1.8459,                0.25255,                 0.7516,                0.36816,                0.19266,                 1.1032,                 2.9016,                 1.4099,                0.00307,                0.00307,                0.00307
                     17,                 1.2837,                 2.3767,                 1.8428,                0.24791,                0.66649,                 0.3907,                0.22392,                0.92264,                 2.9292,                 1.2944,               0.002575,               0.002575,               0.002575
                     18,                 1.2731,                 2.2619,                 1.8114,                0.26349,                 0.8766,                0.33466,                0.20966,                 0.8553,                  2.751,                 1.2274,                0.00208,                0.00208,                0.00208
                     19,                 1.1776,                 2.2241,                 1.6999,                0.25053,                0.78667,                0.33085,                0.21263,                0.83476,                 2.7155,                 1.2129,               0.001585,               0.001585,               0.001585
                     20,                 1.1778,                 2.2296,                 1.7046,                 0.2526,                0.87199,                0.32227,                  0.209,                0.80845,                 2.7095,                 1.1847,                0.00109,                0.00109,                0.00109
